Dependency metrics,Qua, 13 dez 2017 16:13:58 BRST
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"csidekick.CSideKickOptionPane",0,1,1,0,0
"csidekick.Plugin",0,0,0,0,0
"csidekick.Project",0,0,0,0,0
"csidekick.ProjectProperties",0,0,0,2,9
"csidekick.node.BlockNode",0,1,11,0,0
"csidekick.node.CUNode",6,3,10,1,7
"csidekick.node.ClassNode",6,2,10,1,7
"csidekick.node.ConstructorNode",6,1,10,1,7
"csidekick.node.IncludeNode",6,1,10,1,7
"csidekick.node.Location",0,0,0,2,8
"csidekick.node.ModifierSet",0,0,0,2,8
"csidekick.node.Results",0,0,0,1,8
"csidekick.node.TigerLabeler",6,6,10,1,7
"csidekick.node.TigerNode",6,4,10,7,7
"csidekick.node.Type",6,1,10,1,7
"csidekick.parser.CPPSideKickParser",0,0,0,0,0
"csidekick.parser.CSideKickParser",0,0,0,0,0
"csidekick.parser.cpp.ClassScope",1,1,1,2,2
"csidekick.parser.cpp.Scope",1,1,1,2,2
"csidekick.parser.cpp.SymtabManager",0,2,2,0,0
"sidekick.java.node.ExtendsNode",0,0,0,0,0
"sidekick.java.node.MethodNode",0,0,0,0,0
"sidekick.java.node.Parameter",0,0,0,0,0
"textfilter.ActionManager",0,1,1,0,0
"textfilter.ApplicationChooserDialog",0,0,0,0,0
"textfilter.ApplicationRunner",0,1,1,0,0
"textfilter.CmdExec",3,4,4,3,3
"textfilter.CmdExec.InputTask",3,1,4,1,3
"textfilter.CmdExec.OutputTask",3,1,4,1,3
"textfilter.CmdExec.Timeout",3,1,4,1,3
"textfilter.EditActionComparator",0,0,0,0,0
"textfilter.FilterAction",0,0,0,0,0
"textfilter.RemoveFilterDialog",0,2,2,0,0
"textfilter.RemoveFilterDialog.EAListRenderer",0,0,0,1,1
"textfilter.TFMenuProvider",0,1,1,0,0
"textfilter.TextFilterPlugin",0,0,0,0,0
"xml.CatalogManager",1,2,2,2,3
"xml.CatalogManager.Entry",0,0,0,1,4
"xml.CatalogManager.VFSUpdateHandler",1,1,2,1,3
"xml.EditTagDialog",3,7,7,3,3
"xml.EditTagDialog.ActionHandler",3,1,7,1,3
"xml.EditTagDialog.Attribute",0,1,1,3,5
"xml.EditTagDialog.Attribute.Value",0,0,0,5,7
"xml.EditTagDialog.AttributeCompare",0,1,2,1,4
"xml.EditTagDialog.AttributeTable",3,2,7,1,3
"xml.EditTagDialog.AttributeTableModel",3,3,7,1,3
"xml.EditTagDialog.ComboValueRenderer",0,1,1,1,4
"xml.Resolver",0,2,2,2,3
"xml.Resolver.Entry",0,0,0,1,4
"xml.TagHighlight",0,0,0,0,0
"xml.XmlActions",0,4,8,1,1
"xml.XmlInsert",2,4,11,2,2
"xml.XmlInsert.ArrayListModel",0,0,0,1,3
"xml.XmlInsert.CaretHandler",2,1,11,1,2
"xml.XmlInsert.MouseHandler",2,3,11,1,2
"xml.XmlListCellRenderer",0,4,4,2,2
"xml.XmlListCellRenderer.CDATA",0,0,0,2,3
"xml.XmlListCellRenderer.ClosingTag",0,0,0,2,3
"xml.XmlListCellRenderer.Comment",0,0,0,2,3
"xml.XmlParsedData",2,5,6,6,12
"xml.XmlPlugin",0,2,2,2,4
"xml.XmlPlugin.TagMouseHandler",0,0,0,1,5
"xml.completion.AntCompleteTask",0,1,1,0,0
"xml.completion.CompletionInfo",0,0,0,5,13
"xml.completion.CompletionInfoHandler",0,0,0,0,0
"xml.completion.ElementDecl",0,1,1,8,14
"xml.completion.ElementDecl.AttributeDecl",0,0,0,8,17
"xml.completion.ElementDecl.Compare",0,1,2,1,13
"xml.completion.EntityDecl",0,0,0,3,5
"xml.completion.EntityDecl.Compare",0,1,1,0,0
"xml.completion.IDDecl",0,0,0,3,5
"xml.completion.IDDecl.Compare",0,1,1,2,4
"xml.completion.XmlCompletion",0,7,13,0,0
"xml.completion.XsdElementDecl",0,0,0,1,2
"xml.options.CatalogsOptionPane",2,2,3,2,2
"xml.options.CatalogsOptionPane.ActionHandler",2,2,3,1,2
"xml.options.CatalogsOptionPane.ListHandler",2,1,3,1,2
"xml.options.GeneralOptionPane",0,1,3,0,0
"xml.parser.SAXParserImpl",1,8,19,1,1
"xml.parser.SAXParserImpl.Handler",1,10,19,1,1
"xml.parser.SAXParserImpl.StoppedException",0,0,0,2,2
"xml.parser.TagParser",2,3,6,5,12
"xml.parser.TagParser.Tag",2,1,6,4,12
"xml.parser.XercesParserImpl",1,7,17,1,1
"xml.parser.XercesParserImpl.Handler",1,10,17,1,1
"xml.parser.XercesParserImpl.StoppedException",0,0,0,2,2
"xml.parser.XmlParser",0,3,7,0,0
"xml.parser.XmlTag",0,1,5,0,0

Package,PDcy,PDpt
"",2,3
"completion",1,2
"csidekick",0,1
"csidekick.node",1,0
"csidekick.parser",0,0
"csidekick.parser.c",0,0
"csidekick.parser.cpp",0,0
"dtds",0,0
"dtds.ent",0,0
"options",1,0
"parser",2,1

