Martin packaging metrics,Seg, 11 dez 2017 16:33:41 BRST
Package,A,Ca,Ce,D,I
"java.lang","0,00",2,2,"0,50","0,50"
"org.apache.felix.eventadmin.impl","0,00",0,1,"0,00","1,00"
"org.apache.felix.eventadmin.impl.handler","0,00",1,0,"1,00","0,00"
"org.apache.felix.gogo.commands","0,88",27,2,"0,06","0,07"
"org.apache.felix.gogo.commands.basic","0,67",2,8,"0,47","0,80"
"org.apache.felix.gogo.commands.converter","0,00",4,2,"0,67","0,33"
"org.apache.felix.webconsole.internal.servlet","0,00",2,3,"0,40","0,60"
"org.apache.karaf.bundle.command","0,12",4,54,"0,05","0,95"
"org.apache.karaf.bundle.command.bundletree","0,33",5,3,"0,29","0,33"
"org.apache.karaf.bundle.core","0,83",19,3,"0,03","0,14"
"org.apache.karaf.bundle.core.internal","0,00",8,9,"0,47","0,53"
"org.apache.karaf.bundle.core.internal.osgi","0,00",0,3,"0,00","1,00"
"org.apache.karaf.bundle.state.blueprint.internal","0,00",1,3,"0,25","0,75"
"org.apache.karaf.bundle.state.spring.internal","0,00",1,3,"0,25","0,75"
"org.apache.karaf.client","0,00",2,2,"0,50","0,67"
"org.apache.karaf.config.command","0,15",7,31,"0,03","0,83"
"org.apache.karaf.config.command.completers","0,00",2,5,"0,29","0,71"
"org.apache.karaf.config.core","1,00",4,0,"0,00","0,00"
"org.apache.karaf.config.core.impl","0,00",3,2,"0,60","0,40"
"org.apache.karaf.config.core.impl.osgi","0,00",0,3,"0,00","1,00"
"org.apache.karaf.demos.command","0,00",1,4,"0,20","0,80"
"org.apache.karaf.demos.deployer.bundle","0,00",0,0,"0,00","1,00"
"org.apache.karaf.deployer.blueprint","0,00",7,4,"0,64","0,33"
"org.apache.karaf.deployer.blueprint.osgi","0,00",0,2,"0,00","1,00"
"org.apache.karaf.deployer.features","0,00",6,5,"0,55","0,44"
"org.apache.karaf.deployer.features.osgi","0,00",0,3,"0,00","1,00"
"org.apache.karaf.deployer.kar","0,00",5,1,"0,83","0,17"
"org.apache.karaf.deployer.kar.osgi","0,00",0,3,"0,00","1,00"
"org.apache.karaf.deployer.spring","0,00",7,3,"0,70","0,25"
"org.apache.karaf.deployer.spring.osgi","0,00",0,2,"0,00","1,00"
"org.apache.karaf.deployer.wrap","0,00",1,1,"0,50","0,50"
"org.apache.karaf.deployer.wrap.osgi","0,00",0,2,"0,00","1,00"
"org.apache.karaf.diagnostic.command","0,00",0,2,"0,00","1,00"
"org.apache.karaf.diagnostic.common","0,33",3,5,"0,04","0,62"
"org.apache.karaf.diagnostic.core","0,67",17,4,"0,14","0,19"
"org.apache.karaf.diagnostic.core.common","0,25",5,4,"0,31","0,44"
"org.apache.karaf.diagnostic.core.internal","0,00",0,2,"0,00","1,00"
"org.apache.karaf.diagnostic.core.providers","0,00",5,5,"0,50","0,50"
"org.apache.karaf.diagnostic.demo","0,00",0,1,"0,00","1,00"
"org.apache.karaf.diagnostic.internal","0,00",0,5,"0,00","1,00"
"org.apache.karaf.diagnostic.management","1,00",1,0,"0,00","0,00"
"org.apache.karaf.diagnostic.management.internal","0,00",1,2,"0,33","0,67"
"org.apache.karaf.features","0,70",145,8,"0,25","0,06"
"org.apache.karaf.features.command","0,06",3,50,"0,00","0,96"
"org.apache.karaf.features.command.completers","0,11",12,22,"0,24","0,65"
"org.apache.karaf.features.internal.download","0,80",24,6,"0,00","0,20"
"org.apache.karaf.features.internal.download.impl","0,30",15,15,"0,20","0,43"
"org.apache.karaf.features.internal.management","0,00",2,4,"0,33","0,67"
"org.apache.karaf.features.internal.model","0,00",48,23,"0,68","0,32"
"org.apache.karaf.features.internal.osgi","0,00",0,7,"0,00","1,00"
"org.apache.karaf.features.internal.region","0,10",11,30,"0,17","0,75"
"org.apache.karaf.features.internal.repository","0,11",13,10,"0,45","0,44"
"org.apache.karaf.features.internal.resolver","0,09",41,10,"0,71","0,20"
"org.apache.karaf.features.internal.service","0,09",47,37,"0,47","0,49"
"org.apache.karaf.features.internal.util","0,12",20,1,"0,83","0,06"
"org.apache.karaf.features.management","1,00",2,0,"0,00","0,00"
"org.apache.karaf.features.management.codec","0,00",5,9,"0,36","0,64"
"org.apache.karaf.http.command","0,00",0,3,"0,00","1,00"
"org.apache.karaf.http.core","0,67",7,1,"0,21","0,12"
"org.apache.karaf.http.core.internal","0,00",6,3,"0,67","0,33"
"org.apache.karaf.http.core.internal.osgi","0,00",0,3,"0,00","1,00"
"org.apache.karaf.info","1,00",1,0,"0,00","0,00"
"org.apache.karaf.instance.command","0,06",16,53,"0,17","0,77"
"org.apache.karaf.instance.command.completers","0,00",4,7,"0,36","0,64"
"org.apache.karaf.instance.core","0,75",19,1,"0,20","0,05"
"org.apache.karaf.instance.core.internal","0,12",12,17,"0,29","0,60"
"org.apache.karaf.instance.core.internal.osgi","0,00",0,5,"0,00","1,00"
"org.apache.karaf.instance.main","0,00",2,4,"0,33","0,67"
"org.apache.karaf.jaas.blueprint.config.impl","0,00",0,3,"0,00","1,00"
"org.apache.karaf.jaas.blueprint.jasypt.handler","0,00",1,1,"0,50","0,50"
"org.apache.karaf.jaas.boot","0,00",6,0,"1,00","0,00"
"org.apache.karaf.jaas.boot.principal","0,25",37,1,"0,72","0,03"
"org.apache.karaf.jaas.command","0,05",2,64,"0,02","0,97"
"org.apache.karaf.jaas.command.completers","0,00",2,7,"0,22","0,78"
"org.apache.karaf.jaas.config","0,60",15,2,"0,28","0,12"
"org.apache.karaf.jaas.config.impl","0,00",8,12,"0,40","0,60"
"org.apache.karaf.jaas.jasypt.impl","0,00",2,5,"0,29","0,71"
"org.apache.karaf.jaas.modules","0,83",27,8,"0,06","0,23"
"org.apache.karaf.jaas.modules.audit","0,20",3,3,"0,30","0,75"
"org.apache.karaf.jaas.modules.encryption","0,00",6,4,"0,60","0,40"
"org.apache.karaf.jaas.modules.impl","0,00",1,11,"0,08","0,92"
"org.apache.karaf.jaas.modules.jdbc","0,00",3,11,"0,21","0,79"
"org.apache.karaf.jaas.modules.ldap","0,17",7,7,"0,33","0,60"
"org.apache.karaf.jaas.modules.osgi","0,00",1,3,"0,25","0,75"
"org.apache.karaf.jaas.modules.properties","0,00",6,13,"0,32","0,68"
"org.apache.karaf.jaas.modules.publickey","0,00",5,9,"0,36","0,64"
"org.apache.karaf.jaas.modules.syncope","0,00",2,6,"0,25","0,75"
"org.apache.karaf.jdbc","1,00",6,0,"0,00","0,00"
"org.apache.karaf.jdbc.command","0,25",2,15,"0,13","0,88"
"org.apache.karaf.jdbc.command.completers","0,00",4,8,"0,33","0,67"
"org.apache.karaf.jdbc.command.ds","0,00",0,17,"0,00","1,00"
"org.apache.karaf.jdbc.command.parsing","0,00",1,2,"0,33","0,67"
"org.apache.karaf.jdbc.internal","0,00",3,3,"0,50","0,50"
"org.apache.karaf.jdbc.internal.osgi","0,00",0,3,"0,00","1,00"
"org.apache.karaf.jms","0,67",7,1,"0,21","0,12"
"org.apache.karaf.jms.command","0,15",2,34,"0,10","0,94"
"org.apache.karaf.jms.command.completers","0,00",2,6,"0,25","0,75"
"org.apache.karaf.jms.internal","0,00",1,4,"0,20","0,80"
"org.apache.karaf.jndi","0,67",7,0,"0,33","0,00"
"org.apache.karaf.jndi.command","0,00",0,23,"0,00","1,00"
"org.apache.karaf.jndi.command.completers","0,00",3,8,"0,27","0,73"
"org.apache.karaf.jndi.internal","0,00",2,2,"0,50","0,50"
"org.apache.karaf.jndi.internal.osgi","0,00",0,3,"0,00","1,00"
"org.apache.karaf.jpa.hibernate","1,00",1,0,"0,00","0,00"
"org.apache.karaf.jpa.hibernate.impl","0,00",1,2,"0,33","0,67"
"org.apache.karaf.jpm","1,00",7,2,"0,22","0,22"
"org.apache.karaf.jpm.impl","0,00",7,6,"0,54","0,46"
"org.apache.karaf.kar","1,00",7,0,"0,00","0,00"
"org.apache.karaf.kar.command","0,00",0,11,"0,00","1,00"
"org.apache.karaf.kar.command.completers","0,00",1,3,"0,25","0,75"
"org.apache.karaf.kar.internal","0,00",6,9,"0,40","0,60"
"org.apache.karaf.kar.internal.osgi","0,00",0,4,"0,00","1,00"
"org.apache.karaf.log.command","0,00",4,22,"0,15","0,90"
"org.apache.karaf.log.core","0,75",8,0,"0,25","0,00"
"org.apache.karaf.log.core.internal","0,00",7,5,"0,58","0,42"
"org.apache.karaf.log.core.internal.layout","0,14",16,12,"0,43","0,33"
"org.apache.karaf.log.core.internal.osgi","0,00",0,3,"0,00","1,00"
"org.apache.karaf.main","0,07",15,19,"0,37","0,57"
"org.apache.karaf.main.lock","0,13",15,15,"0,37","0,50"
"org.apache.karaf.main.util","0,20",9,3,"0,55","0,27"
"org.apache.karaf.management","0,09",12,7,"0,54","0,50"
"org.apache.karaf.management.internal","0,00",2,5,"0,29","0,71"
"org.apache.karaf.obr.command","0,08",1,15,"0,02","0,94"
"org.apache.karaf.obr.command.util","0,00",1,0,"1,00","0,00"
"org.apache.karaf.obr.core","1,00",1,0,"0,00","0,00"
"org.apache.karaf.obr.core.internal","0,00",1,1,"0,50","0,50"
"org.apache.karaf.obr.core.internal.osgi","0,00",0,2,"0,00","1,00"
"org.apache.karaf.packages.command","0,00",0,6,"0,00","1,00"
"org.apache.karaf.packages.core","0,50",12,1,"0,42","0,08"
"org.apache.karaf.packages.core.internal","0,00",4,4,"0,50","0,50"
"org.apache.karaf.packages.core.internal.filter","0,14",12,4,"0,61","0,27"
"org.apache.karaf.packages.core.internal.osgi","0,00",0,3,"0,00","1,00"
"org.apache.karaf.profile","0,83",23,4,"0,02","0,10"
"org.apache.karaf.profile.assembly","0,00",19,37,"0,34","0,78"
"org.apache.karaf.profile.command","0,00",1,26,"0,04","1,00"
"org.apache.karaf.profile.command.completers","0,00",2,3,"0,40","0,60"
"org.apache.karaf.profile.impl","0,00",15,18,"0,45","0,53"
"org.apache.karaf.profile.impl.osgi","0,00",0,3,"0,00","1,00"
"org.apache.karaf.scheduler","1,00",10,2,"0,17","0,17"
"org.apache.karaf.scheduler.command","0,00",0,9,"0,00","1,00"
"org.apache.karaf.scheduler.command.support","0,00",1,2,"0,33","0,67"
"org.apache.karaf.scheduler.core","0,00",6,11,"0,35","0,67"
"org.apache.karaf.scr.command","0,00",2,0,"1,00","0,00"
"org.apache.karaf.scr.command.action","0,20",2,17,"0,09","0,89"
"org.apache.karaf.scr.command.completer","0,25",4,6,"0,15","0,60"
"org.apache.karaf.scr.command.support","0,00",1,0,"1,00","0,00"
"org.apache.karaf.scr.examples.component.factories","1,00",2,0,"0,00","0,00"
"org.apache.karaf.scr.examples.component.factories.component","0,00",0,1,"0,00","1,00"
"org.apache.karaf.scr.examples.component.factories.impl","0,00",2,3,"0,40","0,67"
"org.apache.karaf.scr.examples.managed.service","1,00",2,0,"0,00","0,00"
"org.apache.karaf.scr.examples.managed.service.component","0,00",0,1,"0,00","1,00"
"org.apache.karaf.scr.examples.managed.service.impl","0,00",2,3,"0,40","0,67"
"org.apache.karaf.scr.examples.service","1,00",2,0,"0,00","0,00"
"org.apache.karaf.scr.examples.service.component","0,00",0,1,"0,00","1,00"
"org.apache.karaf.scr.examples.service.impl","0,00",0,1,"0,00","1,00"
"org.apache.karaf.scr.management","1,00",2,0,"0,00","0,00"
"org.apache.karaf.scr.management.codec","0,00",3,4,"0,43","0,57"
"org.apache.karaf.scr.management.internal","0,00",0,2,"0,00","1,00"
"org.apache.karaf.service.command","0,00",4,7,"0,36","0,70"
"org.apache.karaf.service.core","1,00",1,0,"0,00","0,00"
"org.apache.karaf.service.core.internal","0,00",1,1,"0,50","0,50"
"org.apache.karaf.service.core.internal.osgi","0,00",0,2,"0,00","1,00"
"org.apache.karaf.service.guard.impl","0,11",9,10,"0,36","0,60"
"org.apache.karaf.service.guard.tools","0,00",8,1,"0,89","0,20"
"org.apache.karaf.services.staticcm","0,00",3,2,"0,60","0,40"
"org.apache.karaf.shell.api.action","1,00",39,0,"0,00","0,00"
"org.apache.karaf.shell.api.action.lifecycle","1,00",11,0,"0,00","0,00"
"org.apache.karaf.shell.api.console","0,92",166,9,"0,03","0,05"
"org.apache.karaf.shell.commands","0,80",32,5,"0,06","0,14"
"org.apache.karaf.shell.commands.ansi","0,00",6,0,"1,00","0,00"
"org.apache.karaf.shell.commands.basic","0,50",8,13,"0,12","0,62"
"org.apache.karaf.shell.commands.converter","0,00",4,2,"0,67","0,33"
"org.apache.karaf.shell.commands.impl","0,00",17,74,"0,19","0,91"
"org.apache.karaf.shell.commands.impl.info","0,00",2,5,"0,29","0,71"
"org.apache.karaf.shell.commands.info","1,00",2,0,"0,00","0,00"
"org.apache.karaf.shell.commands.meta","0,00",3,7,"0,30","0,70"
"org.apache.karaf.shell.compat","0,00",3,15,"0,17","0,88"
"org.apache.karaf.shell.console","0,56",34,6,"0,29","0,15"
"org.apache.karaf.shell.console.commands","0,00",4,14,"0,22","0,79"
"org.apache.karaf.shell.console.completer","0,00",20,22,"0,48","0,58"
"org.apache.karaf.shell.console.factory","1,00",1,1,"0,50","0,50"
"org.apache.karaf.shell.console.impl","0,00",1,3,"0,25","0,75"
"org.apache.karaf.shell.console.impl.jline","0,00",12,21,"0,36","0,65"
"org.apache.karaf.shell.impl.action.command","0,00",16,22,"0,42","0,59"
"org.apache.karaf.shell.impl.action.osgi","0,38",9,12,"0,05","0,61"
"org.apache.karaf.shell.impl.console","0,05",29,37,"0,39","0,56"
"org.apache.karaf.shell.impl.console.commands","0,33",3,8,"0,06","0,73"
"org.apache.karaf.shell.impl.console.commands.help","0,12",9,27,"0,12","0,75"
"org.apache.karaf.shell.impl.console.commands.help.wikidoc","0,25",6,4,"0,35","0,44"
"org.apache.karaf.shell.impl.console.osgi","0,00",6,13,"0,32","0,68"
"org.apache.karaf.shell.impl.console.osgi.secured","0,00",3,8,"0,27","0,73"
"org.apache.karaf.shell.impl.console.parsing","0,00",2,2,"0,50","0,50"
"org.apache.karaf.shell.impl.console.standalone","0,00",0,5,"0,00","1,00"
"org.apache.karaf.shell.security.impl","0,00",3,2,"0,60","0,40"
"org.apache.karaf.shell.ssh","0,00",15,30,"0,33","0,67"
"org.apache.karaf.shell.support","0,00",23,7,"0,77","0,24"
"org.apache.karaf.shell.support.ansi","0,00",12,2,"0,86","0,10"
"org.apache.karaf.shell.support.completers","0,20",39,11,"0,58","0,21"
"org.apache.karaf.shell.support.converter","0,00",10,2,"0,83","0,17"
"org.apache.karaf.shell.support.parsing","0,00",7,3,"0,70","0,30"
"org.apache.karaf.shell.support.table","0,17",59,6,"0,74","0,09"
"org.apache.karaf.shell.support.terminal","0,00",3,1,"0,75","0,25"
"org.apache.karaf.shell.table","0,17",7,5,"0,42","0,42"
"org.apache.karaf.shell.util","0,00",2,4,"0,33","0,67"
"org.apache.karaf.subsystem.commands","0,22",3,18,"0,08","0,90"
"org.apache.karaf.system","0,33",12,1,"0,59","0,11"
"org.apache.karaf.system.commands","0,00",0,13,"0,00","1,00"
"org.apache.karaf.system.internal","0,00",2,1,"0,67","0,33"
"org.apache.karaf.system.internal.osgi","0,00",0,4,"0,00","1,00"
"org.apache.karaf.system.management","1,00",1,0,"0,00","0,00"
"org.apache.karaf.system.management.internal","0,00",1,2,"0,33","0,67"
"org.apache.karaf.tooling","0,00",3,23,"0,12","1,00"
"org.apache.karaf.tooling.commands","0,40",4,11,"0,13","0,73"
"org.apache.karaf.tooling.features","0,20",2,11,"0,05","0,85"
"org.apache.karaf.tooling.tracker","0,00",0,2,"0,00","1,00"
"org.apache.karaf.tooling.utils","0,11",24,12,"0,56","0,30"
"org.apache.karaf.util","0,00",22,0,"1,00","0,00"
"org.apache.karaf.util.bundles","0,00",4,0,"1,00","0,00"
"org.apache.karaf.util.collections","0,00",7,3,"0,70","0,25"
"org.apache.karaf.util.config","0,00",3,0,"1,00","0,00"
"org.apache.karaf.util.jaas","0,00",17,3,"0,85","0,18"
"org.apache.karaf.util.locks","0,80",6,1,"0,06","0,33"
"org.apache.karaf.util.maven","0,00",5,0,"1,00","0,00"
"org.apache.karaf.util.process","0,00",2,1,"0,67","0,33"
"org.apache.karaf.util.tracker","0,33",34,2,"0,61","0,06"
"org.apache.karaf.util.tracker.annotation","1,00",6,1,"0,14","0,14"
"org.apache.karaf.web","0,33",8,2,"0,47","0,20"
"org.apache.karaf.web.commands","0,00",0,9,"0,00","1,00"
"org.apache.karaf.web.internal","0,00",3,2,"0,60","0,40"
"org.apache.karaf.web.internal.osgi","0,00",0,4,"0,00","1,00"
"org.apache.karaf.web.management","1,00",1,0,"0,00","0,00"
"org.apache.karaf.web.management.internal","0,00",1,2,"0,33","0,67"
"org.apache.karaf.webconsole.features","0,00",4,8,"0,33","0,78"
"org.apache.karaf.webconsole.gogo","0,00",5,11,"0,31","0,73"
"org.apache.karaf.webconsole.http","0,00",5,3,"0,62","0,38"
"org.apache.karaf.webconsole.instance","0,00",1,4,"0,20","0,80"
"org.apache.karaf.wrapper","1,00",4,0,"0,00","0,00"
"org.apache.karaf.wrapper.commands","0,00",0,3,"0,00","1,00"
"org.apache.karaf.wrapper.internal","0,00",1,1,"0,50","0,50"
"org.apache.karaf.wrapper.internal.osgi","0,00",0,4,"0,00","1,00"
"org.apache.karaf.wrapper.internal.service","0,00",0,1,"0,00","1,00"
"org.apache.karaf.wrapper.management","1,00",1,0,"0,00","0,00"
"org.apache.karaf.wrapper.management.internal","0,00",1,2,"0,33","0,67"
"org.eclipse.equinox.internal.region","0,00",1,0,"1,00","0,00"
"org.eclipse.osgi.util","0,00",0,0,"0,00","1,00"
"org.slf4j.impl","0,00",3,2,"0,60","0,40"

